JLCPCB BOM Tool - BOM Matching,,,,,,,,,,,,,,,,,
BOM name：JLC_BOM-JLCPCB Assembly Order.xlsx,,,Download Time：2025-12-08 00:43:43,,,,"* Our matching results are updated in real-time, but stock and prices may change. 
If it's been over 24 hours, please re-match before placing your order.",,,,,,,,,,
PCB Assembled Qty：5,,,Est. Total Price：67.4383,,,,,,,,,,,,,,
Your BOM,,,,,Matched Parts,,,,,,,Order Information,,,,,
Top Designator,Bottom Designator,Comment,Footprint,JLCPCB Part #,Matches,Part # ,Manufacturer,Footprint,Description,Category,Warning,JLCPCB Part #,Product link,Lib Type,Qty,Source,Total Price ($)
"C10,C2,C24,C25,C26,C27,C28,C29,C30,C34,C36,C9",,0.1uF,0402,,Select by System,CL05B104KO5NNNC,Samsung Electro-Mechanics,0402,100nF 16V X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C1525,https://jlcpcb.com/partdetail/1877-CL05B104KO5NNNC/C1525,Basic,34,34 JLCPCB,0.0408
"C11,C12,C13,C14,C17,C19,C3,C31,C32,C33,C6",,1uF,0402,,Select by System,CL05A105KA5NQNC,Samsung Electro-Mechanics,0402,1uF 25V X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C52923,https://jlcpcb.com/partdetail/53938-CL05A105KA5NQNC/C52923,Basic,32,32 JLCPCB,0.0928
"C15,C8",,22uF,"SMD,D4xL5.4mm",,Select by System,RVT1C220M0405,Honor Elec,"SMD,D4xL5.4mm","-55℃~+105℃ 16V 2000hrs@105℃ 22uF 4mm 5.4mm ±20% SMD,D4xL5.4mm Aluminum Electrolytic Capacitors - SMD ROHS",Aluminum Electrolytic Capacitors - SMD,,C3356,https://jlcpcb.com/partdetail/HonorElec-RVT1C220M0405/C3356,Extended,20,20 JLCPCB,0.462
"C16,C18,C4,C5,C7",,10uF,0603,,Select by System,CL10A106KP8NNNC,Samsung Electro-Mechanics,0603,10V 10uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C19702,https://jlcpcb.com/partdetail/20411-CL10A106KP8NNNC/C19702,Basic,20,20 JLCPCB,0.112
"C20,C21",,2.2nF,0402,,Select by System,0402B222K500NT,FH (Guangdong Fenghua Advanced Tech),0402,2.2nF 50V X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C1531,https://jlcpcb.com/partdetail/1883-0402B222K500NT/C1531,Extended,20,20 JLCPCB,0.022
C23,,0.47uF,0402,,Select by System,CL05A474KP5NNNC,Samsung Electro-Mechanics,0402,10V 470nF X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C47339,https://jlcpcb.com/partdetail/48344-CL05A474KP5NNNC/C47339,Extended,20,20 JLCPCB,0.07
"D1,D2,D4",,LED,0603,,Select by System,KT-0603R,Hubei KENTO Elec,0603,-40℃~+85℃ 120° 2.4V 20mA 300mcd 40mW 615nm~630nm 645nm Red Water Clear 0603 LED Indication - Discrete ROHS,LED Indication - Discrete,,C2286,https://jlcpcb.com/partdetail/Hubei_KENTOElec-KT0603R/C2286,Basic,20,20 JLCPCB,0.112
J1,,USB_C_Receptacle_USB2.0_14P,SMD,,Select by System,TYPE-C-31-M-12,Korean Hroparts Elec,SMD,1 16P 5A Female Type-C SMD USB Connectors ROHS,USB Connectors,,C165948,https://jlcpcb.com/partdetail/Korean_HropartsElec-TYPE_C_31_M12/C165948,Extended,2,2 JLCPCB,0.3388
J3,,Micro_SD_Card,SMD,,Select by System,TF PUSH,SHOU HAN,SMD,-25℃~+90℃ 2mm Connector and Ejector MicroSD Card (TF Card) No Push-Push SMD SD Card / Memory Card Connector ROHS,SD Card / Memory Card Connector,,C393941,https://jlcpcb.com/partdetail/SHOUHAN-TFPUSH/C393941,Extended,2,2 JLCPCB,0.1132
L1,,1uH,"SMD,4x4mm",,Select by System,XAL4020-102MEC,Coilcraft,"SMD,4x4mm","13.25mΩ 1uH 8.7A 9.6A AEC-Q200 ±20% SMD,4x4mm Power Inductors ROHS",Power Inductors,,C4555951,https://jlcpcb.com/partdetail/Coilcraft-XAL4020102MEC/C4555951,Extended,2,2 JLCPCB,1.935
"R1,R2",,5.1K,0402,,Select by System,0402WGF5101TCE,UNI-ROYAL(Uniroyal Elec),0402,-55℃~+155℃ 5.1kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C25905,https://jlcpcb.com/partdetail/26648-0402WGF5101TCE/C25905,Basic,20,20 JLCPCB,0.01
R3,,1.8K,0402,,Select by System,0402WGF1801TCE,UNI-ROYAL(Uniroyal Elec),0402,-55℃~+155℃ 1.8kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C25871,https://jlcpcb.com/partdetail/26614-0402WGF1801TCE/C25871,Extended,20,20 JLCPCB,0.01
