Designator,Mid X,Mid Y,Rotation,Layer
C10,154.95,-74.2,270.0,top
C11,132.135,-97.0375,0.0,top
C12,132.085,-97.7375,0.0,top
C13,132.085,-98.4375,0.0,top
C14,133.335,-117.6,0.0,top
C15,139.2,-48.7,0.0,top
C16,156.05,-74.725,270.0,top
C17,134.51,-107.5375,0.0,top
C18,134.185,-98.7375,0.0,top
C19,133.235,-107.5375,0.0,top
C2,143.5,-48.875,90.0,top
C20,135.31,-108.9,180.0,top
C21,136.585,-108.9,0.0,top
C23,136.735,-117.6,0.0,top
C24,152.275,-79.05,0.0,top
C25,155.025,-77.85,0.0,top
C26,158.2,-123.7375,180.0,top
C27,157.2,-81.0,90.0,top
C28,157.3375,-77.825,90.0,top
C29,159.5,-80.4,90.0,top
C3,145.975,-128.1,0.0,top
C30,150.14,-80.825,90.0,top
C31,156.6375,-77.825,90.0,top
C32,158.175,-124.4375,180.0,top
C33,154.24,-81.7,90.0,top
C34,144.7,-128.1,180.0,top
C36,132.085,-99.1375,0.0,top
C4,148.7,-124.6,90.0,top
C5,142.7,-126.8,270.0,top
C6,130.45,-128.925,90.0,top
C7,135.65,-126.375,90.0,top
C8,133.41,-121.9,90.0,top
C9,147.35,-74.505,90.0,top
D1,144.4,-122.0,270.0,top
D2,142.1,-123.8,0.0,top
D4,166.42895,-76.21,0.0,top
J1,144.3125,-137.5475,0.0,top
J2,151.2,-123.13,180.0,top
J3,158.2,-132.8375,0.0,top
J5,131.33,-56.71,0.0,top
J6,131.33,-70.5,0.0,top
J7,131.32,-84.315,0.0,top
L1,138.6,-123.4,180.0,top
LS1,133.5,-134.005,90.0,top
LS2,137.1,-134.005,90.0,top
R1,146.3375,-131.8875,0.0,top
R10,162.84145,-70.335,270.0,top
R11,162.84145,-73.66,90.0,top
R13,165.56645,-77.32,0.0,top
R14,134.75,-72.45,270.0,top
R15,159.6,-126.2375,0.0,top
R16,148.7,-66.3,0.0,top
R17,136.21,-107.9,90.0,top
R18,158.3,-126.2375,0.0,top
R19,156.1,-126.2375,0.0,top
R2,142.8375,-131.8875,180.0,top
R20,153.9,-126.2375,0.0,top
R3,147.65,-128.2,0.0,top
R4,143.5,-61.65,90.0,top
R5,145.5,-122.9,90.0,top
R6,143.0,-124.9,180.0,top
R7,135.51,-107.85,270.0,top
R8,141.3,-126.675,90.0,top
R9,140.6,-126.75,270.0,top
SW2,166.14145,-70.28,0.0,top
SW3,166.14145,-73.61,0.0,top
TH1,149.4,-126.9,0.0,top
U1,153.6,-52.54,0.0,top
U10,156.0925,-119.5375,180.0,top
U11,155.6,-80.25,0.0,top
U12,169.525,-132.68,90.0,top
U13,158.3375,-77.25,0.0,top
U14,152.54,-77.1,0.0,top
U15,160.2,-78.4,270.0,top
U17,152.2,-81.35,270.0,top
U2,138.95,-126.5,0.0,top
U3,145.7625,-125.65,180.0,top
U4,132.85,-128.35,0.0,top
U5,153.53,-73.025,0.0,top
U6,144.6125,-130.6875,90.0,top
U7,141.05,-76.705,90.0,top
U8,132.135,-113.5,0.0,top
U9,134.785,-103.3375,0.0,top
